Epoch,Beta,Time_s,Train_Total_Loss,Train_Recon_MSE,Train_Active_SmoothL1,Train_Contact_Focal,Train_KLD_Loss,Train_Raw_KLD_Loss,Train_Gate_Balance,Val_Recon_MSE,Val_Active_SmoothL1,Val_Contact_Focal,Val_Contact_Micro_F1,Val_Contact_Macro_F1,Val_Contact_Micro_Precision,Val_Contact_Micro_Recall,Val_F1_Pelvis,Val_F1_Spine,Val_F1_Right_Hand,Val_F1_Left_Hand,Val_F1_Right_Foot,Val_F1_Left_Foot,Grad_Norm,Gate_Exp_1,Gate_Exp_2,Gate_Exp_3
23,0.00100,1316.81,0.011266,0.000825,0.000628,0.000692,0.640568,0.285463,0.409911,0.001723,0.001905,0.001509,0.916401,0.880487,0.847427,0.997597,0.958579,0.828221,0.787345,0.853075,0.937118,0.918584,inf,0.0877,0.8556,0.0566
24,0.00100,1297.15,0.011277,0.000814,0.000622,0.000687,0.640568,0.285224,0.411766,0.002059,0.002169,0.001581,0.905975,0.866059,0.828835,0.998948,0.942212,0.794039,0.791053,0.830474,0.935250,0.903324,inf,0.0873,0.8568,0.0559
25,0.00100,1298.14,0.011299,0.000799,0.000614,0.000678,0.640528,0.284393,0.414637,0.001591,0.002234,0.001451,0.920323,0.882244,0.854683,0.996885,0.959274,0.834535,0.793779,0.839969,0.940896,0.925010,inf,0.0861,0.8586,0.0553
26,0.00100,1304.99,0.011298,0.000794,0.000605,0.000675,0.640519,0.285267,0.415782,0.001545,0.002017,0.001341,0.924264,0.885135,0.860848,0.997766,0.948822,0.827137,0.802573,0.857364,0.946031,0.928880,inf,0.0854,0.8594,0.0552
27,0.00100,1326.78,0.011253,0.000783,0.000600,0.000669,0.640484,0.282493,0.414803,0.001362,0.002042,0.001227,0.934928,0.893239,0.880350,0.996721,0.966155,0.852553,0.801271,0.840095,0.951466,0.947895,inf,0.0860,0.8588,0.0552
28,0.00100,1322.67,0.011223,0.000768,0.000589,0.000660,0.640483,0.281506,0.415312,0.001857,0.002238,0.001544,0.917854,0.878451,0.849558,0.998091,0.950093,0.811708,0.800160,0.845831,0.957066,0.905848,inf,0.0858,0.8591,0.0552
29,0.00100,1327.13,0.011223,0.000754,0.000582,0.000651,0.640467,0.279767,0.416957,0.001349,0.001941,0.001319,0.939098,0.888914,0.887981,0.996460,0.956076,0.821551,0.794442,0.846420,0.946665,0.968326,inf,0.0852,0.8601,0.0547
30,0.00100,1317.27,0.011243,0.000746,0.000576,0.000646,0.640442,0.280390,0.419045,0.001462,0.002005,0.001415,0.928455,0.898344,0.868793,0.996915,0.960818,0.876490,0.818321,0.857824,0.935915,0.940694,inf,0.0844,0.8614,0.0542
31,0.00100,1307.25,0.011233,0.000735,0.000569,0.000639,0.640430,0.278053,0.419937,0.001413,0.001702,0.001349,0.934539,0.891004,0.879356,0.997111,0.946172,0.828500,0.820063,0.851461,0.944770,0.955056,inf,0.0837,0.8620,0.0543
32,0.00100,1305.88,0.011228,0.000727,0.000564,0.000634,0.640417,0.277000,0.420766,0.001388,0.002096,0.001478,0.939249,0.898302,0.888560,0.996071,0.973280,0.838292,0.816044,0.856690,0.953767,0.951739,inf,0.0836,0.8625,0.0539
